id,performance,age,gender,how many live coding performances have you been to?,how much music do you regularly listen to?,do you play an instrument or sing?,how much experience do you have with programming?,do you have much experience with the Lisp family of programming languages?,didactic enjoyment beginning,didactic enjoyment middle,didactic enjoyment end,didactic did the projected visualisations help with your enjoyment of the code?,didactic understanding beginning,didactic understanding middle,didactic understanding end,didactic did the projected visualisations help with your understanding of the code?,didactic this was a live performance! did the projected visualisations help communicate the feeling that the performance was live? if so how?,aesthetic enjoyment beginning,aesthetic enjoyment middle,aesthetic enjoyment end,aesthetic did the projected visualisations help with your enjoyment of the code?,aesthetic understanding beginning,aesthetic understanding middle,aesthetic understanding end,aesthetic did the projected visualisations help with your understanding of the code?,aesthetic this was a live performance! did the projected visualisations help communicate the feeling that the performance was live? if so how?,do you have any suggestions for how the visualisations for either performance might be improved?,arrian's notes
1,2,33-37,m,first one,large amount,no,currently program,yes,medium,low,medium,no,medium,medium,medium,-,Yes. Live editing,-,-,-,-,-,-,-,-,-,You need separate screens... overlayed code and graphics was confusing. Unsure how the visualizations related to music -> need to be intuitive,survey half complete
2,2,33-37,-,first one,large amount,no,currently program,don't know what you are talking about,high,medium,medium,yes,low,low,low,no opinion,Probably not because I had the context set. If I was only listening it could give that feeling.,low,medium,high,yes,low,low,low,no opinion,I could not associate as haven’t been to any live performance.,"If you must use the visuals, probably images with the instrument being played could help.",
3,2,23-27,m,first one,large amount,yes,currently program,no,low,low,medium,no,high,medium,high,no,The changing and addition of different parameters helped to understand it was live.,medium,medium,high,yes,medium,-,-,no,Same as Q12 [The changing and addition of different parameters helped to understand it was live.],"During the starting when the code was being written some part of music was monotonous. Too many use of ""random"" where music was off beat during first performance [2 didactic]. 2nd performance was good. [2 aesthetic]",
4,2,23-27,m,first one,large amount,yes,currently program,no,medium,high,high,yes,medium,medium,medium,yes,Watching the program conveyed it as live. In-interpreter changes were impressive.,high,high,high,yes,medium,high,high,yes,"Confusing when vis changed, once that was clear how the code worked was easier to understand.",I found the three wavy live vis confusing - knowing what it was refering in the music (labels) would have been good. I feel vis could be more complex - show more information. May be combine some (segmented circles?),
5,2,43-52,f,first one,large amount,yes,currently program,no,high,high,high,yes,medium,medium,medium,no,"Yes, the code in particular gave a good feeling for the ""live""-ness of the performance. I guess we're used to auto-visualisations of music so that didn't contribute quite as much. Also I didn't feel the visualisations were very representitive of what was happening musically.",medium,high,high,yes,medium,medium,medium,no,I liked these visuals better but I still did not feel they represented the code or music very well. I would have liked to see more correspondence eg. hue = pitch size = temporal frequency or something similar ,See previous comments. It might be interesting to look at some of the literature on synaethesia for inspiration on this.,"stated in didactic understanding section that ""I couldn't really read the code from where I was sitting"""
6,2,18-22,m,first one,large amount,no,currently program,no,medium,medium,medium,yes,-,-,-,no opinion,You can see code changing and visualisations changing as soon as code changes.,medium,high,medium,yes,medium,medium,medium,no,Visualisations - not as much as first performance [2 didactic]. Doesn’t seem to be linked with the code as much.,Second set of visualisations looks prettier but less connected with code.,
7,2,23-27,m,first one,large amount,no,currently program,no,high,medium,high,no,high,low,high,yes,Yes. Connection between code and vis was understandable.,medium,medium,high,no,high,medium,high,no,"Code yes, especially when changing frequencies. Visualisations were nicer, but didn’t change much.","First one was factual but ""boring"". Second one was better but did not reflect rhythm too much.",
8,2,43-52,m,4,a little,no,currently program,yes,medium,medium,medium,yes,low,low,low,no opinion,Yes,medium,high,medium,yes,low,low,low,no opinion,Yes. Response to code changes.,-,"stated ""could not read"" for didactic understanding section"
9,2,23-27,f,first one,large amount,no,currently program,no,high,high,high,yes,low,low,low,yes,"Yes, the code change was more helpful in communicating that the performance was live but the visualisations were far more interesting to look at so it was good to have a combination of the two.",high,high,high,yes,low,low,low,no,Same comment as before except that I thought the last visualisations [2 didactic] were better and in hindsight helped more with communicating that the performance was live.,I thought the first visualisation [2 didactic] methods was better and I have no comments on how to improve that method.,
10,2,43-52,m,3?,large amount,occasionally,currently program,no,medium,medium,medium,yes,low,medium,medium,no,Yes - the appearance of code correlated with keyboard clicks…,medium,medium,medium,no,medium,medium,medium,no,Variation in visualisations in response to the code & music changes.,Not really.,
